,identifiant_unique,result_type,result_housenumber,result_street,result_postcode,result_citycode,result_city,result_district,result_context,result_score,latitude,longitude,origin
48,allo_serrure_122600_reparation,housenumber,1ter,Rue Victor Hugo,76200,76217,Dieppe,,"76, Seine-Maritime, Normandie",0.7610936363636364,49.924545,1.075242,cas_32
49,hapc_217829_reparation_0984250344,housenumber,21,Rue du Pont de Cesar,77570,77099,Château-Landon,,"77, Seine-et-Marne, Île-de-France",0.9595681818181818,48.148178,2.736595,cas_32
50,mandrier_sarahann_10345_reparation_0615771829,housenumber,2,Allée du Pic Vert,74940,74010,Annecy,,"74, Haute-Savoie, Auvergne-Rhône-Alpes",0.9626763636363634,45.922644,6.172461,cas_32
51,scsti_186467_reparation_0658473995,housenumber,110,Rue d'Illzach,68100,68224,Mulhouse,,"68, Haut-Rhin, Grand Est",0.97937,47.75771,7.345597,cas_32
52,atelier_hemcy_201000_reparation_0687221901,housenumber,60,Rue du Clos Didier,39300,39097,Champagnole,,"39, Jura, Bourgogne-Franche-Comté",0.9544245454545456,46.747891,5.910701,cas_32
53,les_chouettes_enchantees_179442_reparation_0615340682,housenumber,23,Avenue Frédéric Mistral,6130,06069,Grasse,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.9708490909090908,43.649294,6.919986,cas_32
54,samuel_schluchter_200925_reparation_0386503192,housenumber,21,Route de Dornes,58300,58241,Saint-Germain-Chassenay,,"58, Nièvre, Bourgogne-Franche-Comté",0.851330303030303,46.764566,3.388426,cas_32
55,sellerie_andre_120503_reparation_0388666465,street,,Rue de l'Electricité,67118,67152,Geispolsheim,,"67, Bas-Rhin, Grand Est",0.8637972727272727,48.531493,7.68122,cas_32
56,robin_julien_104976_reparation_0659633502,street,,Avenue de la Coussonnière,63570,63050,Brassac-les-Mines,,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",0.7827357342657343,45.416797,3.320125,cas_32
57,graslin_magali_18844_reparation_0603832043,housenumber,56,rue Alexandre Dumas,83110,83123,Sanary-sur-Mer,,"83, Var, Provence-Alpes-Côte d'Azur",0.9593209090909092,43.121064,5.802102,cas_32
58,mme_gutierrez_rojas_sandra_58426_reparation,housenumber,9,Rue Saint-Honoré,80000,80021,Amiens,,"80, Somme, Hauts-de-France",0.687948796068796,49.887845,2.288642,cas_32
59,repair_cafe_de_neuville_sur_saone_1382_initiatives_locales,housenumber,4,Impasse de la Tatière,69250,69143,Neuville-sur-Saône,,"69, Rhône, Auvergne-Rhône-Alpes",0.7127127272727273,45.874659,4.841137,cas_31
60,madireg_101899_reparation_0696826464,street,,ZI de Champigny,97224,97207,Ducos,,"972, Martinique",0.7037242975206611,14.577612,-60.986349,cas_31
61,l_atelier_b_182634_reparation_0782837884,housenumber,145,Rue de Boéri,6210,06079,Mandelieu-la-Napoule,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.96355,43.556602,6.93837,cas_32
62,clemcoud_114002_reparation_0659627438,housenumber,4,Avenue de Prélevet,74960,74010,Annecy,,"74, Haute-Savoie, Auvergne-Rhône-Alpes",0.8627263101604277,45.895548,6.101674,cas_32
63,jeuxvideofr_acheres_59440_sinoe_0139114474,housenumber,3,Avenue Wolfgang Amadeus Mozart,78260,78005,Achères,,"78, Yvelines, Île-de-France",0.957620909090909,48.960467,2.058644,cas_32
64,cap_motoculture_160432_reparation_0549434044,street,,Route de Lusignan,86370,86293,Vivonne,,"86, Vienne, Nouvelle-Aquitaine",0.9558890909090908,46.423239,0.252846,cas_32
65,ema_piscine_174612_reparation,housenumber,4,Chez Jean Brard,16130,16366,Segonzac,,"16, Charente, Nouvelle-Aquitaine",0.9461381818181815,45.631846,-0.172085,cas_32
66,ninis_crea_65953_reparation_0650762155,housenumber,23,Rue de la Plage,50460,50129,Cherbourg-en-Cotentin,,"50, Manche, Normandie",0.9689045454545454,49.667239,-1.696764,cas_32
67,madame_steiler_clarisse_105700_reparation_0686956636,street,,Rue de la Gare,57640,57072,Bettelainville,,"57, Moselle, Grand Est",0.9433545454545452,49.235543,6.302039,cas_32
68,ets_ramseyer_2675_reparation_0477718680,street,,Rue Alexandre Raffin,42300,42187,Roanne,,"42, Loire, Auvergne-Rhône-Alpes",0.966561818181818,46.033508,4.067136,cas_32
69,atelier_jerome_richard_92591_reparation_0231799317,housenumber,18,Rue Paul Le Brethon,14320,14349,Laize-Clinchamps,,"14, Calvados, Normandie",0.9518172727272728,49.078795,-0.406546,cas_32
70,la_manufactur_et_cie_10366_reparation_0973656565,housenumber,52,Rue Roger Salengro,69200,69259,Vénissieux,,"69, Rhône, Auvergne-Rhône-Alpes",0.9720936363636364,45.720507,4.869094,cas_32
71,ptite_souris_184897_reparation_0626186108,housenumber,57,Rue de la Valette,50580,50236,La Haye,,"50, Manche, Normandie",0.9609327272727272,49.301115,-1.66937,cas_32
72,fanny_look_219798_reparation,street,,Boulevard Saint-Martin,75010,75110,Paris,Paris 10e Arrondissement,"75, Paris, Île-de-France",0.6263563636363636,48.868734,2.358261,cas_32
73,bachere_remi_joailler_createur_166991_reparation_0661214081,housenumber,304,Avenue du Touring Club de France,40150,40304,Soorts-Hossegor,,"40, Landes, Nouvelle-Aquitaine",0.9663245454545452,43.657039,-1.42911,cas_32
74,top_shop_5741_reparation,street,,Route du laitelet,73550,73015,Les Allues,,"73, Savoie, Auvergne-Rhône-Alpes",0.5009036363636363,45.374416,6.573317,cas_32
75,m_koljibabic_sinisa_56343_reparation,street,,Rue de la Paix,59120,59360,Loos,,"59, Nord, Hauts-de-France",0.5910854545454545,50.608333,3.008976,cas_31
76,atol_184765_reparation,housenumber,2,Parc d’Activite de la Baie,50300,50025,Avranches,,"50, Manche, Normandie",0.7166800422832981,48.655899,-1.34889,cas_32
77,m_desestret_philippe_198708_reparation_0604033181,street,,route de Lyon-RD 906,71100,71269,Lux,,"71, Saône-et-Loire, Bourgogne-Franche-Comté",0.7355333542319749,46.751187,4.84844,cas_32
78,le_bigot_pierrieck_99914_reparation_0603259929,street,,Place de l'Eglise - Besle,44290,44067,Guémené-Penfao,,"44, Loire-Atlantique, Pays de la Loire",0.6499833333333332,47.697307,-1.866329,cas_32
79,de_fil_en_aiguille_92768_reparation_0698361372,housenumber,2,Rue du Château,14220,14689,Thury-Harcourt-le-Hom,,"14, Calvados, Normandie",0.9148085950413224,48.986334,-0.478609,cas_31
80,bois_divins_222067_reparation_0651581199,street,,piste de girent,6260,06096,Pierlas,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.4893359213759213,44.016434,7.002909,cas_32
81,berbiche_nadjia_212629_reparation_0634596782,street,,Rue Raymond Pitet,75017,75117,Paris,Paris 17e Arrondissement,"75, Paris, Île-de-France",0.7882181818181818,48.889779,2.296711,cas_32
82,le_ceylan_68562_reparation_0241591433,housenumber,1,Rue de l’image,49700,49125,Doué-en-Anjou,,"49, Maine-et-Loire, Pays de la Loire",0.959090909090909,47.193968,-0.275255,cas_32
83,123_services_42_192264_reparation,housenumber,902,Route de Létivant,42380,42169,Périgneux,,"42, Loire, Auvergne-Rhône-Alpes",0.955741818181818,45.462135,4.143455,cas_32
84,odier_frederic_136406_reparation_0650790278,housenumber,7,Rue de Cornilly,41120,41059,Le Controis-en-Sologne,,"41, Loir-et-Cher, Centre-Val de Loire",0.9598718181818182,47.436726,1.354054,cas_32
85,cordonnerei_richard_69349_reparation_0608430799,housenumber,9,Rue Jules Ferry,49500,49331,Segré-en-Anjou Bleu,,"49, Maine-et-Loire, Pays de la Loire",0.9602072727272726,47.684066,-0.871052,cas_32
86,ulmaison_de_tours_plus_vestiboutique_58215_sinoe_0247360606,housenumber,148,Rue Jacques-Louis Blot,37540,37214,Saint-Cyr-sur-Loire,,"37, Indre-et-Loire, Centre-Val de Loire",0.7423954545454545,47.40935,0.662042,cas_32
87,minolien_ritchie_101803_reparation,street,,Residence le Laureat Acajou,97232,97213,Le Lamentin,,"972, Martinique",0.4206054545454545,14.627477,-61.015578,cas_31
88,brico_prestige_181508_reparation_0652294944,street,,corniche des issambres,83380,83107,Roquebrune-sur-Argens,,"83, Var, Provence-Alpes-Côte d'Azur",0.4165030434782608,43.344775,6.703687,cas_32
89,lisba_de_vladzounia_202585_reparation_0681670924,housenumber,20,Rue de la sariette,13012,13212,Marseille,Marseille 12e Arrondissement,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",0.651496776859504,43.304369,5.449613,cas_32
90,arthur_coordonnerie_multi_services_33212_reparation_0619914040,street,,Route de Marseille,83330,83016,Le Beausset,,"83, Var, Provence-Alpes-Côte d'Azur",0.9611790909090908,43.201052,5.808115,cas_32
91,ardillier_alexandre_176112_reparation_0615163007,street,,Route de Périgueux,24260,24067,Le Bugue,,"24, Dordogne, Nouvelle-Aquitaine",0.9548172727272728,44.926801,0.929077,cas_32
92,quietec_32066_reparation,housenumber,50,Rue Berthy Albrecht,84000,84007,Avignon,,"84, Vaucluse, Provence-Alpes-Côte d'Azur",0.8650153562653562,43.931518,4.773538,cas_32
93,cet_autre_monde_93432_reparation_0476905001,street,,Route de Meylan,38330,38045,Biviers,,"38, Isère, Auvergne-Rhône-Alpes",0.8478536363636363,45.23819,5.80452,cas_32
94,lile_aux_bebes_59166_reparation_0632777112,housenumber,2190,Chemin de Lencieu,84190,84049,Gigondas,,"84, Vaucluse, Provence-Alpes-Côte d'Azur",0.8716005741626793,44.178861,5.027529,cas_31
95,renovantic_shop_15888_reparation_0492711623,street,,Zone Artisanale la Tranche,4180,04242,Villeneuve,,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",0.6065566942148759,43.890829,5.874395,cas_32
96,obokopo_15436_reparation_0659254373,street,,Lotissement Mireille,13990,13038,Fontvieille,,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",0.9106435897435896,43.718916,4.700939,cas_32
97,la_mordora_e_166934_reparation,street,,Route de Cazaux,33260,33529,La Teste-de-Buch,,"33, Gironde, Nouvelle-Aquitaine",0.96034,44.585537,-1.137327,cas_32
98,ml_services_et_paysages_sarl_174565_reparation,housenumber,35,Rue des Ajoncs,33980,33019,Audenge,,"33, Gironde, Nouvelle-Aquitaine",0.9625427272727272,44.684513,-1.011739,cas_32
99,m_philip_nino_179037_reparation_0786833869,housenumber,66,Rue du Canton,5350,05007,Arvieux,,"05, Hautes-Alpes, Provence-Alpes-Côte d'Azur",0.9371154545454544,44.780163,6.736394,cas_32
100,association_labri_17437_sinoe_0329369755,housenumber,1299,Rue de Genemont,88550,88358,Pouxeux,,"88, Vosges, Grand Est",0.953211818181818,48.093348,6.572389,cas_32
101,dm_renov_168935_reparation,housenumber,6,Rue Camille Corot,33150,33119,Cenon,,"33, Gironde, Nouvelle-Aquitaine",0.960780909090909,44.853127,-0.512318,cas_32
102,optique_angevie_122006_reparation_0668151803,street,,Avenue de Saint Yon,76800,76575,Saint-Étienne-du-Rouvray,,"76, Seine-Maritime, Normandie",0.8083927272727273,49.397545,1.102587,cas_32
103,ebenisterie_menuiserie_christophes_184791_reparation_0233555676,housenumber,42,Rue Louis Armand,50000,50502,Saint-Lô,,"50, Manche, Normandie",0.8286237967914437,49.103251,-1.070131,cas_32
104,gemmes__et_alors___177195_reparation,street,,Rue du Buisson,61210,61339,Putanges-le-Lac,,"61, Orne, Normandie",0.7257381818181817,48.770423,-0.242291,cas_32
105,maison_kock_210792_reparation_0609254961,street,,Rue Pablo Neruda,78340,78165,Les Clayes-sous-Bois,,"78, Yvelines, Île-de-France",0.9557909090909088,48.824307,1.972958,cas_32
106,repair_cafe_marcay_1719_initiatives_locales,housenumber,12,Place de l’Eglise,86370,86145,Marçay,,"86, Vienne, Nouvelle-Aquitaine",0.606469982174688,46.462848,0.23025,cas_31
107,allo_depannage_multiservices_34706_reparation_0633084222,housenumber,6,Impasse de la Cascade,63440,63344,Saint-Gal-sur-Sioule,,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",0.8423254545454545,46.112134,3.007823,cas_32
108,hautefeuille_nathalie_99714_reparation_0609032057,street,,Impasse des Pétrels,44420,44211,La Turballe,,"44, Loire-Atlantique, Pays de la Loire",0.6403213223140495,47.35834,-2.518943,cas_32
109,clemence_et_antonin_la_livraison_des_ptits_chefs_168683_reparation,housenumber,5,Rue du Chant des Oiseaux,86000,86194,Poitiers,,"86, Vienne, Nouvelle-Aquitaine",0.9654036363636362,46.61425,0.341365,cas_32
110,ordi_secours_4203_reparation_0472542668,housenumber,49,Route de l’Arbresle,69380,69050,Châtillon,,"69, Rhône, Auvergne-Rhône-Alpes",0.9564054545454544,45.875432,4.643796,cas_32
111,fx_diffusion_108519_reparation,housenumber,52bis,Avenue Commandant Bret,6400,06029,Cannes,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.800982554112554,43.562142,7.024646,cas_32
112,dk__click_informatique_193000_reparation_0618710897,housenumber,145,Avenue du Général de Gaulle,59180,59131,Cappelle-la-Grande,,"59, Nord, Hauts-de-France",0.7761251674641148,50.998402,2.363812,cas_32
113,cordo_2000_12030_reparation_0473550883,street,,Rue Jean Bigot,63500,63178,Issoire,,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",0.66805,45.54919,3.266446,cas_32
114,clos_antique_33844_reparation_0667033654,street,,Avenue du Carmel,83200,83137,Toulon,,"83, Var, Provence-Alpes-Côte d'Azur",0.8857461876832844,43.146533,5.9044,cas_32
115,arnoux_eric_159930_reparation_0782025042,housenumber,13,Cours du Général de Gaulle,33170,33192,Gradignan,,"33, Gironde, Nouvelle-Aquitaine",0.9756463636363636,44.787708,-0.60508,cas_32
116,serthimultiservices_181297_reparation_0668485344,housenumber,2,Allee Gerard de Nerval,13500,13056,Martigues,,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",0.5422821212121212,43.419622,5.049802,cas_32
117,ncl_service_a_domicile_200792_reparation_0623028704,housenumber,1,Rue de la Begelle,25230,25586,Vandoncourt,,"25, Doubs, Bourgogne-Franche-Comté",0.9518527272727272,47.467177,6.900849,cas_32
118,perrotin_frederic_135403_reparation,housenumber,35,Route de Montlouis,37270,37225,Saint-Martin-le-Beau,,"37, Indre-et-Loire, Centre-Val de Loire",0.8633493939393939,47.371259,0.880912,cas_32
119,etablissements_champavier_1893_reparation_0478437062,housenumber,18,Rue Marius Berliet,69380,69052,Chazay-d'Azergues,,"69, Rhône, Auvergne-Rhône-Alpes",0.95485,45.867182,4.698904,cas_32
120,latelier_des_terres_de_lolivier_179945_reparation,housenumber,3,Avenue de Verdun,13260,13022,Cassis,,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",0.9606127272727272,43.218036,5.533516,cas_32
121,ds_mayenne_72144_reparation_0243302953,housenumber,181,Rue du Terras,53100,53147,Mayenne,,"53, Mayenne, Pays de la Loire",0.9607045454545454,48.293724,-0.611835,cas_32
122,cyborg_cargo_bikes_166091_reparation_0620978172,housenumber,11,avenue Henri Dunant,64000,64445,Pau,,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",0.9687781818181816,43.305946,-0.363459,cas_32
123,msim_178171_reparation_0661124061,housenumber,8,Avenue d’Arménie,13120,13041,Gardanne,,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",0.9623209090909092,43.453159,5.45297,cas_32
124,soulie_frederic_168489_reparation_0546474484,housenumber,31,Route de la Gaconnière,17550,17140,Dolus-d'Oléron,,"17, Charente-Maritime, Nouvelle-Aquitaine",0.9547545454545454,45.884223,-1.243254,cas_32
125,bleu_minute_166104_reparation,street,,Avenue de Bonnemie,17310,17385,Saint-Pierre-d'Oléron,,"17, Charente-Maritime, Nouvelle-Aquitaine",0.7611570707070706,45.944385,-1.319247,cas_32
126,denis_perrier_125061_reparation_0325054373,street,,Avenue du Général Sarrail,52100,52448,Saint-Dizier,,"52, Haute-Marne, Grand Est",0.9667554545454544,48.644866,4.953375,cas_32
127,bip_bip_informatique_16455_reparation_0662110435,housenumber,1,Rue Rancher,6000,06088,Nice,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.9693536363636364,43.701858,7.270867,cas_32
128,vincent_celine_110669_reparation,housenumber,16,Rue de la vendée,44190,44063,Gétigné,,"44, Loire-Atlantique, Pays de la Loire",0.954640909090909,47.074156,-1.242497,cas_32
129,gioia_design_13348_reparation_0648652243,housenumber,27,Rue gratteloup,13013,13213,Marseille,Marseille 13e Arrondissement,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",0.633119982174688,43.358246,5.414159,cas_32
130,morisot_benoit_20050_reparation,street,,Rue du Barry,5300,05173,Upaix,,"05, Hautes-Alpes, Provence-Alpes-Côte d'Azur",0.939311818181818,44.318704,5.874308,cas_32
131,d_m_s_ameublement_2565_reparation_0478483700,street,,Allee des Noisetiers,69700,69136,Montagny,,"69, Rhône, Auvergne-Rhône-Alpes",0.9457527272727272,45.613412,4.767558,cas_32
132,j__cara_160424_reparation,street,,Route de l’Ecuissière,17550,17140,Dolus-d'Oléron,,"17, Charente-Maritime, Nouvelle-Aquitaine",0.7875345454545454,45.902497,-1.261139,cas_32
133,batyzen_175824_reparation,housenumber,2,Rue Pasteur,33113,33484,Saint-Symphorien,,"33, Gironde, Nouvelle-Aquitaine",0.8214128282828282,44.427059,-0.49132,cas_32
134,creme_tapissiere_8929_reparation_0663060754,locality,,,50690,50294,Martinvast,,"50, Manche, Normandie",0.5459969696969696,49.59023,-1.659359,cas_32
135,lenestour_georges_168285_reparation_0666615110,street,,Rue Condorcet,33210,33227,Langon,,"33, Gironde, Nouvelle-Aquitaine",0.9592063636363636,44.545457,-0.241502,cas_32
136,giugia_eddy_177109_reparation_0661072670,housenumber,5,Rue Dodemans,61150,61153,Écouché-les-Vallées,,"61, Orne, Normandie",0.9548390909090908,48.71639,-0.12443,cas_32
