,identifiant_unique,adresse,adresse_complement,code_postal,ville,st_x,st_y
28,klinic_informatic_specialiste_apple_et_microsoudure__drupal_m1224_0613151195,5 Rue Des Forges,,60340,ST LEU D ESSERENT,2.4198,49.217647
29,era_176035_reparation_0648318180,12 RUE DE TUJEAN,,33290,BLANQUEFORT,-0.6330114,44.9236952
30,prolaques_109175_reparation,100 RTE DE LA BARONNE,QUARTIER FONGIERIE,06640,SAINT JEANNET,7.1762664,43.7425902
31,la_tournerie_198979_reparation_0612227673,5 RUE DES DEUX PONTS,,58210,LA CHAPELLE ST ANDRE,3.345862,47.394068
32,bernard_michele_70814_reparation_0662748879,8 ALLEE DES CAPUCINES,,44390,SAFFRE,-1.5801557,47.5029296
33,c_renov_101001_reparation,42 RUE DU VIVIER,,59154,CRESPIN,3.6628881,50.4178189
34,garage_landouzi_76680_reparation_0323974022,41 RUE DE VERDUN,,02500,LUZOIR,3.9704982,49.9277742
35,m_siad_mohamed_222357_reparation_0619767450,CITE DES GRIFFONS,BATIMENT N 1,84700,SORGUES,4.874742,44.011373
37,cccreations_133540_reparation_0645968545,14 RUE PASTEUR,,38300,BOURGOIN JALLIEU,5.268725,45.599576
38,2_roues_et_demi__cafe_cycles_du_buech_177805_reparation_0664537938,6 BOULEVARD GAMBETTA,,05400,VEYNES,5.820406,44.533321
39,pacaud_nicolas_139366_reparation_0607839411,3 RUE PETITE RUE CREUSE,,45170,SANTEAU,2.14566,48.106476
40,m_asmus_david_54994_reparation,COMMUNE DE RATTACHEMENT,,59000,LILLE,3.0423599,50.6138111
41,laoa_144296_reparation_0467308618,37 BD DU SOLEIL,,34300,AGDE,3.485032,43.304623
42,lartisan_rempailleur_210832_reparation_0143354176,85 RUE DAGUERRE,,75014,PARIS 14,2.324483,48.835793
43,beteille_arnaud_camille_raymond_147054_reparation,83 ROUTE SAINT-HYPPOLYTE,,81640,MONESTIES,2.093448,44.055609
44,bkcs_97784_reparation_0671812490,7 ROUTE D'ETAIN,,55210,HATTONVILLE,5.7138029,48.9926668
45,bacou_gautrand_annecamille_213499_reparation_0633378385,10 PAS LATHUILLE,,75018,PARIS 18,2.327793,48.884881
46,jose_miguel_petit_bricolage_et_espaces_verts_173461_reparation_0624006283,3 RUE XERRI KARRIKA,,64250,CAMBO LES BAINS,-1.3998523,43.3617566
47,selingue_aurelie_137750_reparation,1 montrousset,,28400,ST JEAN PIERRE FIXTE,0.84382,48.295417
48,taleb_sofiane_218238_reparation_0769787373,49 RUE NOLLET,,75017,PARIS 17,2.321495,48.886788
49,vonick_et_technick_158267_reparation,5 LA CHAPELLE ST TUAL,,22980,PLELAN-LE-PETIT,-2.198624,48.417191
50,m_guillemin_fabien_199907_reparation_0679220400,2133 ROUTE DU BOURG,,71330,BOUHANS,5.29585,46.770053
51,voisin_hugues_2358_reparation_0953968479,20  ALLEE DU CLOS PUITS,,73420,DRUMETTAZ CLARAFOND,5.9157388,45.6596123
52,affutsur_100360_reparation_0789921928,11 RUE DUGUESCLIN,,43000,LE PUY EN VELAY,3.877623,45.0458222
53,mme_sarramea_audrey_151948_reparation,103 CHEMIN DU CARREROT,,65200,MONTGAILLARD,0.109708,43.12413
54,batman_192719_reparation_0698281933,16 RUE ALFRED DE MUSSET,,62300,LENS,2.818791,50.436499
55,tioka_170636_reparation,MAISON UHARTIA,,64220,GAMARTHE,-1.142972,43.2007483
56,gallois_jimmy_222755_reparation_0658126802,6 CHEMIN DU CLOS,,69140,RILLIEUX LA PAPE,4.908411,45.834428
57,boulard_yannick_219988_reparation_0660187570,7 AV DES ECOLES,,91320,WISSOUS,2.324487,48.73793
58,m_nemoz_bruno_140500_reparation,2 AVENUE DE LA TOUR,,30210,SAINT HILAIRE D OZILHAN,4.591959,43.96985
59,le_faubourg_du_cycle_162848_reparation_0553229464,69 RUE DU MARECHAL JOFFRE,,24100,BERGERAC,0.477849,44.847397
60,vidhop_3189_reparation,200 GRANDE RUE,,01570,FEILLENS,4.88594,46.3305308
61,abarma_122456_reparation_0670334284,7 IMPASSE DU MOULIN,,76390,HAUDRICOURT,1.7049,49.733719
62,ok_services_176014_reparation_0760767191,42 Bis BOULEVARD DU PYLA,,33260,LA TESTE-DE-BUCH,-1.1613203,44.6337778
63,nouvon_denis_165606_reparation,16 RUE PORTE MARILLAC,,16110,LA ROCHEFOUCAULD EN ANGOUMOIS,0.387059,45.741033
64,vision_206589_reparation_0633249002,ZA DES VERNAYS,,74210,DOUSSARD,6.235607,45.773775
65,ace_sarl_207170_reparation_0668510528,450 ROUTE DU BOUILH,,33240,SAINT-ANDRE DE CUBZAC,-0.447838,45.003684
66,m_martin_nicolas_97657_reparation_0671508451,14 RUE DE BEZONVAUX,,55100,VERDUN,5.3954358,49.1622468
67,mcd_160147_reparation,241 ROUTE DE CAPBRETON,,40150,ANGRESSE,-1.3751442,43.6571901
68,berenger_106141_reparation,7 RUE DE LA LOBE,,57680,ARRY,6.0561152,48.9946105
69,gm_couture_105014_reparation_0622822410,86 COURS JEAN JAURES,,38130,ECHIROLLES,5.7042178,45.1456331
70,buro_typ_135026_reparation_0254033233,49 ROUTE DE BOURGES,,36100,ISSOUDUN,2.000499,46.950372
71,quillere_damien_137530_reparation,7 ALLEE DES MIRABELLES,,18570,TROUY,2.353728,47.006806
73,burgaud_nicolas_121328_reparation_0235236144,GRANDE RUE,,76116,RY,1.342302,49.471183
74,retouch_express_5116_reparation_0478370701,12  RUE D AUVERGNE,,69002,LYON 02,4.8286879,45.7537432
75,machado_alexandre_192319_reparation_0667916080,18 AVENUE DE CLERMONT,,63430,PONT DU CHATEAU,3.235445,45.796825
76,france_ip_communication_182536_reparation,52 RUE GEORGES BRAQUE,,83130,LA GARDE,6.021089,43.131428
77,maniere_agriviti_196610_reparation_0380202115,21 ROUTE DE CUSSY,,21340,VAL-MONT,4.638357,47.031525
78,boscolo_josiane_117869_reparation,LD LA BARRE PILOT,,85700,LA MEILLERAIE TILLAY,-0.810736,46.763225
79,michelhutteau_sylvie_205796_reparation_0687194958,18 RUE DU DOCTEUR DEVIGNEVIELLE,,27200,VERNON,1.481058,49.086429
80,reboul_nadege_143999_reparation_0689204151,1 PL HUGUES PANASSIE,,31300,TOULOUSE,1.3963385,43.6120478
81,ateliers_didier_lacroix_197087_reparation_0684023559,16 RUE SAINT VINCENT,,71100,CHALON SUR SAONE,4.857773,46.78167
82,dominique_ansquer_156397_reparation,19 RUE DE LA CORNICHE,,29780,PLOUHINEC,-4.471033,47.987532
83,lafitte_joris_174207_reparation_0603245815,35 ALLEE VILLA MARIE,,40290,OSSAGES,-0.881231,43.557671
84,mmdpapillonne_7211_reparation_0673360643,9 ALLEE DE BRETAGNE,LE CLOS VALDO,69005,LYON 05,4.7827125,45.7481082
85,patnet_183343_reparation_0750408582,15 RUE DU JOROUX,,74100,ANNEMASSE,6.238107,46.185333
86,a_i_d_e_multimedia_4144_reparation_0478896653,16 RUE GODEFROY,,69006,LYON 06,4.8414704,45.7705666
87,pansin_muriel_59476_reparation,42 ROUTE DES LACETS DE LA TOURRONDE,,05000,GAP,6.0478922,44.5211915
88,nice_factory_66302_reparation_0233471786,84 AVENUE DIVISION LECLERC,,50200,COUTANCES,-1.4340274,49.0609138
89,mme_ragus_francoise_179459_reparation_0635780250,53 RESIDENCE LES CAPUCINES,,84800,L'ISLE SUR LA SORGUE,5.053495,43.925602
90,jjmusicaccordeons_200203_reparation_0781762950,12 RUE DE L'AIGE AU CARABIN,,21560,ARC SUR TILLE,5.189049,47.340668
91,renard_jean_145708_reparation_0650659442,QUA MOLES,,31190,AUTERIVE,1.444238,43.3736279
92,annickouture_11711_reparation_0625902116,16 BOULEVARD SAINT LOUIS,,43000,LE PUY EN VELAY,3.8812298,45.0424085
93,mlle_heyman_chantal_124989_reparation_0325902670,7 RUE DU CHEMIN NEUF,,52500,FAYL BILLOT,5.598947,47.778209
94,les_creas_de_mymiba_132035_reparation_0632711455,32 RTE DE LA PEPINIERE,,67160,WISSEMBOURG,7.946224,49.030103
95,klein_jeanpierre_58772_reparation_0609980150,LE BOURG,,15220,MARCOLES,2.3317771,44.7504885
96,fyd_multi_193887_reparation_0659198875,569 RUE DU QUAI DE MARLES,,62232,ANNEZIN,2.633156,50.54538
97,up_and_sales_131758_reparation,17 RUE DE ROSHEIM,,67000,STRASBOURG,7.733207,48.58014
98,cazelle_angy_222881_reparation_0783459282,LA TAILLAT,,38570,TENCIN,5.962198,45.317449
99,m_ledoux_patrick_53769_reparation_0320507313,8 RUE DU MARECHAL FOCH,,59320,HAUBOURDIN,2.9850415,50.6092954
100,kidesign_178934_reparation_0489248926,12 RUE ALPHONSE DAUDET,,06560,VALBONNE,7.04194,43.623459
101,pgm_couesnon_76773_reparation_0323835675,3 AVENUE ERNEST COUVRECELLE,,02400,ETAMPES SUR MARNE,3.411609,49.0364349
102,nahys_creations_158018_reparation_0634237372,7 MONTMOY,,35610,TRANS-LA-FORET,-1.588062,48.497298
103,communaute_emmaus_saint_quentin_48048_sinoe_0323510599,35 Chemin de Lehaucourt,,02100,SAINT-QUENTIN,3.284276611352,49.847457744435
104,pastel_mediterranee_108698_reparation,27 AVENUE DES OLIVIERS,LES OLIVIERS,06800,CAGNES SUR MER,7.164674,43.659042
105,majoa_paris_194153_reparation,22 ALL DU PARC,,60300,APREMONT,2.509723,49.222584
106,nitchema_jean_216805_reparation_0652564292,34 RUE VERON,,75018,PARIS 18,2.335426,48.885033
107,m_flory_cedric_124741_reparation_0329620903,35 RUE D ALSACE,,88160,RAMONCHAMP,6.744326,47.893591
108,mme_terrisse_lucie_179467_reparation_0648341260,1291 CHEMIN DU FALICONNET,,06950,FALICON,7.268125,43.758207
109,khelfi_kamal_209234_reparation,6 RUE DU COLONEL FABIEN,,93270,SEVRAN,2.527957,48.937148
110,troc_mad_58198_sinoe_0562066454,45 Rue Adolphe Cadeot,,32500,FLEURANCE,0.649396610466,43.84333606294
111,guillaume_16826_reparation,645 RTE DES PUGETS,PARC AUX OISEAUX BAT 7,06700,ST LAURENT DU VAR,7.1836167,43.6880419
112,l_atelier_d_eole_12256_reparation_0473909503,15  RUE DE LA TREILLE,,63000,CLERMONT FERRAND,3.0864082,45.7769586
113,latelier_du_loup_et_de_la_belette_205958_reparation_0651289772,3 LA COCHARDIERE,,50530,BACILLY,-1.410258,48.694078
114,mme_delvoet_valerie_56168_reparation,84 ROUTE DE ST OMER,,59173,RENESCURE,2.4263793,50.7019597
115,insight_crea_180010_reparation_0626297397,2 PLACE DOCTEUR VAUTHIER,,13009,MARSEILLE--9E--ARRONDISSEMENT,5.407986,43.266685
116,mme_chazarenc_charlotte_148992_reparation_0607745884,267 CHEMIN D ORTHOUX,,30140,TORNAC,4.004647,44.016585
117,lebenisterie_du_roy_190727_reparation_0555270282,LIEU DIT LES POUGES,,19700,SAINT CLEMENT,1.689037,45.353897
118,m_letuppe_benjamin_77117_reparation_0651285577,18 RUE DE VALENCIENNES,,02100,ST QUENTIN,3.265316,49.8646115
119,cobie_david_170334_reparation,LES VALLETTES,,47120,VILLENEUVE DE DURAS,0.262118,44.750396
120,grandguillotte_corinne_145546_reparation_0685905482,LD COMBE GUIRAL,,46310,ST GERMAIN DU BEL AIR,1.437587,44.642601
121,ferrer_jean_marc_12963_reparation_0681008240,82 B ROUTE DE SAYAT,,63830,NOHANENT,3.0569684,45.8163198
122,m_fiore_tristan_186908_reparation,10 RUE LORIS BATIGANI,,54640,TUCQUEGNIEUX,5.905808,49.313519
123,les_futees_futiles_57887_reparation,7 RUE DES ETANGS ST PIERRE,,60350,VIEUX MOULIN,2.9366998,49.3888138
124,m_stahle_norbert_207940_reparation,58 CITE DE LA GARE,,54490,PIENNES,5.774042,49.303908
125,sld_broderie_18952_reparation,2772 MONTEE DU VIEUX CAMP,129 RESIDENCE EDEN PARK BOTE 131B,83330,LE CASTELLET,5.7582687,43.2521797
126,m_bughin_fabien_54507_reparation,72 RUE DE LA GALERE,,59330,HAUTMONT,3.9156088,50.2572277
127,thomas_frederic_220258_reparation_0609367699,52 RUE GRANDE RUE,,78720,DAMPIERRE EN YVELINES,1.984592,48.704066
128,auditech_147665_reparation_0466761989,15 IMPASSE DU RASTEL,,30000,NIMES,4.354675,43.861608
129,amls_214839_reparation,245 BD SAINT DENIS,,92400,COURBEVOIE,2.272341,48.901662
130,restart_informatique_drupal_m1865_0296204792,11 Rue De La Marne - Place de Verdun,,22500,PAIMPOL,,
131,naulleau_christian_67159_reparation,RUE ST LUC,Z.ARTISANALE,85000,MOUILLERON LE CAPTIF,-1.4673529,46.721423
132,cardon_sandrine_216859_reparation_0629380581,24 RUE HELENE BRION,,75013,PARIS 13,2.381121,48.82828
133,landeagri_153430_reparation,LD LA VILLE EN BOIS,,35420,SAINT-GEORGES-DE-REINTEMBAULT,-1.2351244,48.5058316
134,blue_grass_120166_reparation_0665344141,17 COTE DES CHAPELIERS,,26000,VALENCE,4.89002,44.934904
135,latelier_de_lulu_couture_194030_reparation_0673012610,178 RUE D'ARDRES,,62370,AUDRUICQ,2.076259,50.878296
136,escoffre_ebeniste_208871_reparation_0140112637,6 RUE CLAUDE GUINOT,,93400,ST OUEN,2.344871,48.905415
137,zozio_by_lexou_186432_reparation_0782899588,130 RUE DE LA MER ROUGE,BATIMENT 102,68100,MULHOUSE,7.29535,47.743658
138,micy_51073_reparation,CHEMIN DE LA DIGUE,,74100,ETREMBIERES,6.2284709,46.183459
139,creart_toutes_coutures_18552_reparation_0642507094,1554 CHEMIN DE L HERMITAN,,83310,COGOLIN,6.5043081,43.2525478
140,easy_clic_110386_reparation_0972314564,8 RUE BOURGNEUF,,72400,LA FERTE BERNARD,0.6546421,48.1849736
141,expertmicro_138291_reparation,23 ROUTE DE BRAY EN VAL,,45730,ST BENOIT SUR LOIRE,2.3151632,47.8121181
142,jeuxvideofr_saint_marcel_58370_sinoe_0614315366,33 Bis Rue des Prés,,27950,SAINT-MARCEL,1.434537643516,49.092727605239
143,sourisseau_laurence_134062_reparation_0616301188,61 QUARTIER GAULOIS,APPARTEMENT 72,72600,MAMERS,0.36733,48.347607
144,atelier_du_jardin_176222_reparation,180 ALLEE DE L'ESCLAPIERE,ZA LA BEGUDE,83440,BROVES,6.644652,43.586033
145,m_palin_jean_francois_57350_reparation,20 RUE DU BOUT RIFFLE,,60000,AUX MARAIS,2.0435374,49.4067635
146,selection_menager_172540_reparation_0546413505,12 B RUE VILLENEUVE,,17000,LA ROCHELLE,-1.1471009,46.1600112
147,sarl_stc_178580_reparation,CHEMIN DU SUD,VALLOUISE,05340,VALLOUISE PELVOUX,6.483418,44.841454
148,m_defert_dominique_58311_reparation,7 RUE DES VERTS CERISIERS,,80680,SAINS EN AMIENOIS,2.3184264,49.8178023
149,chanonat_gilbert_michel_144451_reparation,9 RUE DES FALAISES,,66290,CERBERE,3.1684943,42.4446997
150,marco_polo_155837_reparation,4 RUE ERNEST RENAN,,22220,TREGUIER,-3.229992,48.787887
151,escot_alexandre_140676_reparation_0467307639,44 RUE NOEL SYLVESTRE,,34500,BEZIERS,3.224956,43.351891
152,micro_tech_121846_reparation_0983096192,12 RUE DU HAVRE,,76170,LILLEBONNE,0.53267,49.519509
153,daniel_perret_sarl_220489_reparation_0142012414,48 RUE DE LA VILLETTE,,75019,PARIS 19,2.387918,48.876947
154,jegard_jocelyn_181087_reparation_0613914598,1612 ROUTE DE CAVAILLON,MAS SAINT GENS,13440,CABANNES,4.963638,43.850194
155,interna_france_216706_reparation_0149490641,122 AV CHARLES DE GAULLE,,92200,NEUILLY SUR SEINE,2.26717,48.882976
156,ulmaison_de_dunkerque_vestiboutique_60384_sinoe,27 Rue Marengo,,59140,DUNKERQUE,2.343884239325,51.028801744256
157,malignon_fabien_142535_reparation,LES HAUTS DE MAISON ROUGE,,48220,VIALAS,3.911218,44.32879
158,chantier_louisien_219300_reparation_0603717439,LE ROTOIR,,91870,BOISSY LE SEC,2.084023,48.495124
159,cgnet_11306_reparation_0471605457,30 RUE DU COLLEGE,,15100,ST FLOUR,3.091665,45.0342686
160,les_doigts_dans_le_cuir_68969_reparation_0682384967,2 RUE DES MAZIERES,AMBILLOU-CHATEAU,49700,TUFFALUN,-0.3243796,47.2729931
161,mortecrette_garma_yamina_149532_reparation_0434273251,19 CITE LE MONDAS,,34210,OLONZAC,2.730881,43.279068
162,sc_micro_drupal_m1529_0298215769,25-27 rue du Hervé de Guébriant,,29800,LANDERNEAU,-4.261426,48.450376
163,les_3d_209424_reparation,20 RUE DE LA TERRASSE,,75017,PARIS 17,2.314562,48.882441
164,lou_cabistou_395_reparation_0475946104,9  PLACE GALIMARD,,07600,VALS LES BAINS,4.3659643,44.6659182
165,geslin_mathilde_143731_reparation_0647415015,11 IMP DE LA TOUR,,31200,TOULOUSE,1.430442,43.619768
166,mme_michelin_margaux_203749_reparation_0626637130,5 PLACE JACQUES PREVERT,,21000,DIJON,5.035118,47.314509
167,allroad_214141_reparation_0626330391,102 RUE DES FRERES LUMIERES,ZI DES CHANOUX,93330,NEUILLY SUR MARNE,2.517404,48.866423
168,levy_celine_219095_reparation,11 RUE THOLOZE,,75018,PARIS 18,2.33539,48.886411
169,limpromptu_du_13_13617_reparation_0698120870,13 RUE SAINT MICHEL,,13006,MARSEILLE--6E--ARRONDISSEMENT,5.385823,43.293456
170,fleurs_en_bijou_179734_reparation,89 CHEMIN DU MAS NEUF,CHEMIN DES ROUSTIDES,13150,TARASCON,4.673013,43.820923
171,t2m_technique__maintenance__multiservices_219509_reparation,56 AV DU VIEUX CHEMIN DE SAINT DENIS,56-60,92230,GENNEVILLIERS,2.313745,48.932525
172,m_lages_regis_144814_reparation,33 RUE DU STADE,,65100,ADE,-0.030533,43.141596
173,m_balland_julien_182806_reparation,400 RUE DU PRE BALLON,,88460,LA BAFFE,6.57128,48.167848
174,sarl_morellet_164746_reparation_0545970445,2 IMPASSE DE LA FONTAINE,CHEZ MAROUX,16120,BONNEUIL,-0.132079,45.579786
175,ozturk_nilay_125817_reparation_0632459844,43 AVENUE JEAN JAURES,APT 210 IMM VAN GOGH,27600,GAILLON,1.3444781,49.1558701
176,amoureusement_koala_178125_reparation_0619659466,90 RUE DU VENT BLANC,,13140,MIRAMAS,4.998951,43.573426
177,gt_motoculture_125705_reparation_0232579070,21 RUE DE DEAUVILLE,,27560,LIEUREY,0.496579,49.22999
178,dp_decoration_dinterieur_157276_reparation_0626964248,95 RUE GAL DE GAULLE,,56300,PONTIVY,-2.9647279,48.0685198
179,lor_en_vert_171436_reparation,11 RUE ADA BYRON,,64000,PAU,-0.3305383,43.3263117
180,m_amoura_ouramdane_124480_reparation_0750059472,46 AVENUE DU GENERAL BONAPARTE,,51100,REIMS,4.011251,49.227518
181,ms_brocante_163485_reparation_0645903149,1 RUE DES BILLANGES,,87340,LA JONCHERE SAINT MAURICE,1.4784332,45.9930916
182,harlaut_pascal_211854_reparation_0651155357,8 B AV FRAYCE,,93400,ST OUEN,2.343385,48.90772
183,noel_sport_6141_reparation_0476792184,92  AVENUE DE LA MUZELLE,,38860,LES DEUX ALPES,6.1228343,45.0089846
184,latelier_dannie_60747_reparation_0232579911,21 RUE DE LA MAIRIE,LE BOURG,27260,MORAINVILLE JOUVEAUX,0.4455095,49.2222799
185,mme_fleurent_marine_220755_reparation_0354436822,50 ROUTE DE BRUYERES,,88600,GRANDVILLERS,6.683618,48.239518
186,silbermann_metalwork_185765_reparation_0615952927,89A RTE DES ROMAINS,,67200,STRASBOURG,7.71063,48.578631
187,correia_david_151820_reparation,23 RUE CHARLES THOMAS,,34350,VALRAS PLAGE,3.29289,43.248045
188,repair_cafe_yvelines_et_les_environs_78_1588_initiatives_locales,Hôtel de Ville,1 place du Cœur Battant,95490,VAURÉAL,2.021251,49.030049
189,gillot_christian_176894_reparation_0233387717,LE ROSSIGNOL,PASSAIS LA CONCEPTION,61350,PASSAIS VILLAGES,-0.775705,48.498939
190,julianna_58636_sinoe_0477472789,18 Rue de la Resistance,,42000,SAINT-ÉTIENNE,4.415435217116,45.423997284758
191,mg_confort_176323_reparation_0754060428,97 RUE DE DURTOL,,63100,CLERMONT FERRAND,3.060938,45.788034
192,entreprise_creiche_136220_reparation_0254794464,3 RUE DES SABLONS,ZI DE L'ARTOUILLAT,41120,CHAILLES,1.301001,47.512368
193,laurent_kermarrec_156606_reparation_0768268210,1 B RUE DE ROZ AVEL,,29460,DIRINON,-4.275015,48.393566
194,favari_gratien_220889_reparation,72 GRAND' RUE,,57250,MOYEUVRE PETITE,6.025837,49.270395
195,rps69_204927_reparation_0646631276,37 RUE MARYSE BASTIE,,69008,LYON 08,4.874192,45.739088
196,philippe_herisset_157826_reparation_0682014042,23 RUE DES FONTAINES,,35320,CREVIN,-1.661494,47.93814
197,elhimri_hassane_138923_reparation,8 RUE RENE FONCK,,41000,BLOIS,1.313419,47.598477
198,m_wittrant_emmanuel_53884_reparation_0327779601,250 RUE RAYMOND WASTIAUX,,59550,PRISCHES,3.7648895,50.0819869
199,passion_animal_155418_reparation,2 AV GONTRAN BIENVENU,,56000,VANNES,-2.70673,47.657139
200,atelier_du_lys_dor_214433_reparation_0164375443,306 AV MARCELIN BERTHELOT,,77190,DAMMARIE LES LYS,2.63842,48.512776
201,lely_pierre_199570_reparation_0781198633,107 RUE DE DIJON,,70100,ARC LES GRAY,5.578413,47.454493
202,la_couture_de_marie_111620_reparation_0675205941,4 IMPASSE DES ALIZEES,,38550,ST MAURICE L EXIL,4.7799401,45.387709
203,francoisdedrumel_angelique_100209_reparation_0243476421,92 RUE TOUSSAINT,,72000,LE MANS,0.1828539,48.004744
204,latelier_193105_reparation,43 RUE D'AMIENS,,80800,VILLERS BRETONNEUX,2.510052,49.870694
205,saveurope_205009_reparation_0326023625,8 RUE RAYET LIENART,,51420,WITRY LES REIMS,4.112796,49.283746
206,bezard_philippe_118551_reparation_0769114172,8 RUE EUGENE SUE,,72000,LE MANS,0.185566,48.026565
207,infomedia_35_154227_reparation,13 QUAI DES BATELIERS,,35480,GUIPRY-MESSAC,-1.823908,47.822287
208,d_fruchet_67699_reparation_0251079409,CENTRE COMMERCIAL BELLEVUE,,85430,NIEUL LE DOLENT,-1.5095867,46.5710266
209,les_creacoeurs_de_nadege_200065_reparation_0649003626,1 RUE DU MOINE,,21120,TIL CHATEL,5.174637,47.517488
210,galvier_benoite_134575_reparation_0671851752,117 COURS TOLSTOI,,69100,VILLEURBANNE,4.88292,45.761578
211,velhom_107748_reparation_0660638905,68 CHEMIN DE LA PLANCHE,,14550,BLAINVILLE SUR ORNE,-0.2961053,49.2282601
212,venturi_fils_146126_reparation_0467530379,25 RUE DU FOOTBALL,,34200,SETE,3.67551,43.411689
213,auriane_de_vauplane_69871_reparation_0243934706,CHATEAU DE LAUNAY,,72160,TUFFE VAL DE LA CHERONNE,0.5091584,48.1294022
214,provence_soudage_18136_reparation_0494877169,AVENUE DE BRUXELLES,ZAC DES PLAYES JEAN MONNET NORD,83500,LA SEYNE SUR MER,5.8506101,43.1130384
215,mme_vincon_nathalie_76719_reparation_0619649386,13 GRANDE RUE,,02860,ORGEVAL,3.702746,49.507349
216,technique_menager_vigour_157522_reparation_0645444125,AV DE LA BAIE,,35120,DOL-DE-BRETAGNE,-1.724863,48.551495
217,monties__fils_151098_reparation,60 ALL ARISTIDE BRIAND,,32500,FLEURANCE,0.663057,43.845943
218,mme_hernandez_laurence_151380_reparation_0638214954,IMPASSE LES BASTIDES DU RIEU,,30340,SAINT PRIVAT DES VIEUX,4.1306823,44.1436107
219,pierres_et_pampilles_173973_reparation_0556763223,3 TUCAU,,33210,ROAILLAN,-0.2912496,44.500089
220,rouziou_katia_71208_reparation_0240648004,33 RUE DES GRANDS CHAMPS,LE CLION SUR MER,44210,PORNIC,-2.0552732,47.1176046
221,anna_couture_157637_reparation_0663184472,15 BD SOLFERINO,,35000,RENNES,-1.670051,48.104449
222,gaspard_sports_2742_reparation,PLACE DU CAPITAINE BULLE,ARECHES,73270,BEAUFORT,6.5690893,45.6866587
223,societe_nouvelle_brest_electronic_service_153641_reparation,221 RUE ANATOLE FRANCE,,29200,BREST,-4.514261,48.382601
